"Species1","Mass","Wing.Length","Hand-Wing.Index"
"Tychaedon coryphoeus",20.4,73.4,9
"Tychaedon leucosticta",25.4,72.5,12.4
"Tychaedon quadrivirgata",26.1,79.6,13.9
"Tychaedon signata",38.2,84,13.2
"Vauriella albigularis",35.7,79.8,14.7
"Vauriella goodfellowi",31.7,85.5,15.3
"Vauriella gularis",25.1,84.8,14.7
"Vauriella insignis",28.7,80.8,13.5
"Xenocopsychus ansorgei",35.1,98.8,16.6
"Aethopyga bella",4,41.4,15.8
"Aethopyga boltoni",7.1,49.4,16.9
"Aethopyga christinae",5.2,47.8,18.2
"Aethopyga duyvenbodei",6,53.1,19
"Aethopyga eximia",5.2,53.3,14.2
"Aethopyga flagrans",6.7,45.9,13.7
"Aethopyga gouldiae",5,54.5,21.1
"Aethopyga guimarasensis",6.7,45.9,13.7
"Aethopyga ignicauda",8.2,55.4,16
"Aethopyga latouchii",5.2,47.8,20.6
"Aethopyga linaraborae",7.2,52,15.8
"Aethopyga magnifica",9.3,50.4,17.4
"Aethopyga mystacalis",6,46.8,15.7
"Aethopyga nipalensis",6.9,49.8,18.3
"Aethopyga primigenia",7,50.6,15.8
"Aethopyga pulcherrima",6.2,46.1,16.6
"Aethopyga saturata",5.3,51.3,16.2
"Aethopyga shelleyi",4,46,15.6
"Aethopyga siparaja",6.7,50.4,17.4
"Aethopyga temminckii",6,51,16.2
"Aethopyga vigorsii",6.7,57.5,15.6
"Anabathmis hartlaubii",10.5,61,17.2
"Anabathmis newtonii",6.5,51.8,19.4
"Anabathmis reichenbachii",11.4,57.2,15.5
"Anthobaphes violacea",9.4,52.6,16
"Anthreptes anchietae",8,64.2,15.4
"Anthreptes aurantius",12.5,64,13.7
"Anthreptes gabonicus",10.6,56.6,13.6
"Anthreptes griseigularis",15,61,16.8
"Anthreptes longuemarei",11.4,70.6,17.3
"Anthreptes malacensis",11.3,67.1,18.3
"Anthreptes neglectus",11.8,69.2,14.4
"Anthreptes orientalis",10.3,65.6,15.2
"Anthreptes rectirostris",10.6,55,14.7
"Anthreptes reichenowi",7.3,53.5,11.1
"Anthreptes rhodolaemus",13.1,65.2,21.8
"Anthreptes rubritorques",10.7,57.2,21
"Anthreptes seimundi",6.6,52.6,15
"Anthreptes simplex",8.9,59.9,16.1
"Anthreptes tephrolaemus",10.6,55,14.7
"Arachnothera affinis",26.4,87.3,19
"Arachnothera chrysogenys",23.2,82.9,18
"Arachnothera clarae",30.1,76.4,12.7
"Arachnothera crassirostris",16,70.6,20.4
"Arachnothera dilutior",11.2,66.9,14.1
"Arachnothera flammifera",11.8,66.9,14.1
"Arachnothera flavigaster",38.4,102.2,18.2
"Arachnothera juliae",30.1,79.5,23.2
"Arachnothera longirostra",12.5,66.9,14.1
"Arachnothera magna",30.7,88.7,18.5
"Arachnothera modesta",26.4,77.4,18.1
"Arachnothera robusta",29.3,84.2,20.9
"Chalcomitra adelberti",9.8,60.7,18.9
"Chalcomitra amethystina",13.7,65.1,15.6
"Chalcomitra balfouri",11,59.8,14.8
"Chalcomitra fuliginosa",11.9,65.6,17
"Chalcomitra hunteri",11.8,66.8,14.6
"Chalcomitra rubescens",10.3,64.6,17.7
"Chalcomitra senegalensis",12.2,67.3,17.4
"Chalcoparia singalensis",8.2,51.9,12.8
"Cinnyris afer",11.1,63.6,16.7
"Cinnyris asiaticus",8.1,55,20.6
"Cinnyris batesi",6.3,48.1,13.8
"Cinnyris bifasciatus",7.2,52.2,15
"Cinnyris bouvieri",8.7,55.9,11.9
"Cinnyris buettikoferi",9,50.2,14
"Cinnyris chalcomelas",8.2,58.2,14.1
"Cinnyris chalybeus",7.7,52,20.6
"Cinnyris chloropygius",6.2,47.5,14.6
"Cinnyris coccinigastrus",14.3,66.8,17.1
"Cinnyris comorensis",7.8,53.6,17
"Cinnyris congensis",17.3,62,17.7
"Cinnyris coquerellii",7.9,48,14.8
"Cinnyris cupreus",8.9,57,15.4
"Cinnyris dussumieri",10.8,60.1,15.8
"Cinnyris erythrocercus",8.8,61,13.2
"Cinnyris fuelleborni",8.2,53.9,13.8
"Cinnyris fuscus",7.8,54.9,17.6
"Cinnyris gertrudis",9.5,60,19.2
"Cinnyris habessinicus",9.5,63.1,16.3
"Cinnyris hellmayri",9.5,63.1,16.3
"Cinnyris humbloti",6.4,50.2,17.3
"Cinnyris idenburgi",9,53.4,17.7
"Cinnyris johannae",13,65.2,16.7
"Cinnyris jugularis",9,53.4,17.7
"Cinnyris lotenius",8.8,57,15.4
"Cinnyris loveridgei",9.8,56.7,14.1
"Cinnyris ludovicensis",8.7,61.2,15.7
"Cinnyris manoensis",9.5,58.6,17
"Cinnyris mariquensis",11.5,64.6,19
"Cinnyris mediocris",8.2,53.1,15.1
"Cinnyris melanogastrus",7,56,20
"Cinnyris minullus",5.7,46,14.4
"Cinnyris moebii",14.6,64.2,16.1
"Cinnyris moreaui",8.2,52.8,13
"Cinnyris nectarinioides",4.8,52.5,13.8
"Cinnyris neergaardi",6.1,50.8,13
"Cinnyris notatus",14.6,64.2,16.1
"Cinnyris osea",7.2,51.9,12.5
"Cinnyris oustaleti",8.1,52.8,15.4
"Cinnyris pembae",8.2,51.4,14.5
"Cinnyris prigoginei",11.1,58,12.1
"Cinnyris pulchellus",7,56.5,18.5
"Cinnyris regius",6.6,52.7,15.9
"Cinnyris reichenowi",6.8,61.3,17.3
"Cinnyris rockefelleri",5.3,58,12.8
"Cinnyris rufipennis",8.8,54.2,16.3
"Cinnyris shelleyi",9,58.9,17.4
"Cinnyris solaris",9,51.2,15.4
"Cinnyris sovimanga",7.2,51.4,14.1
"Cinnyris stuhlmanni",8.8,63.6,13.7
"Cinnyris superbus",16.8,72.4,19.5
"Cinnyris talatala",8.1,54.1,15.8
"Cinnyris tsavoensis",6.8,52.2,12.4
"Cinnyris ursulae",6.5,46.8,15.3
"Cinnyris usambaricus",8.2,51.8,16.3
"Cinnyris venustus",6.6,50.2,13.8
"Cinnyris voeltzkowi",14.6,64.2,16.1
"Cyanomitra alinae",12.6,63,15.2
"Cyanomitra bannermani",14,68.8,18.6
"Cyanomitra cyanolaema",16.8,67.2,15.9
"Cyanomitra olivacea",9.7,58.2,17.3
"Cyanomitra oritis",11.2,59.8,15
"Cyanomitra verreauxii",11.5,59.5,16.3
"Cyanomitra verticalis",14.4,61.9,16.6
"Deleornis axillaris",11.3,65.5,15.4
"Deleornis fraseri",11.3,67.3,16.4
"Drepanorhynchus reichenowi",14.7,75.6,16.3
"Dreptes thomensis",26.2,86.5,20.6
"Hedydipna collaris",7,51.1,13.8
"Hedydipna metallica",7.2,54.2,17
"Hedydipna pallidigaster",6.8,49.6,15.5
"Hedydipna platura",6.7,55.2,21.2
"Kurochkinegramma hypogrammica",11.4,66.2,13.7
"Leptocoma aspasia",8,55.3,17.6
"Leptocoma brasiliana",6.4,47,16.3
"Leptocoma calcostetha",8.3,56.6,16
"Leptocoma juliae",6.4,48.4,21.4
"Leptocoma minima",4.9,44.3,13.6
"Leptocoma sperata",6.4,48.4,21.4
"Leptocoma zeylonica",8.8,52.3,13.9
"Nectarinia bocagii",14.8,69,16.9
"Nectarinia famosa",14.4,68.8,20.7
"Nectarinia johnstoni",15.2,76.9,18.8
"Nectarinia kilimensis",15.7,70.8,17.8
"Nectarinia purpureiventris",11.5,61.8,20.3
"Nectarinia tacazze",14.9,76.1,16
"Daphoenositta chrysoptera",11.7,79.2,30.2
"Daphoenositta miranda",16.8,81.9,28.2
"Daphoenositta papuensis",11.7,78.6,28.6
"Nesospingus speculiferus",35.2,84.5,19
"Nicator chloris",46.1,100,12.8
"Nicator gularis",45.6,103.4,13.8
"Nicator vireo",23.6,80.8,11.3
"Notiomystis cincta",93.4,104.3,25.2
"Aleadryas rufinucha",40.5,84.8,14.7
"Oreoica gutturalis",62.8,101.2,24.2
"Ornorectes cristatus",79,114.8,15.1
"Oriolus albiloris",38.6,112,26.5
"Oriolus auratus",66.2,137.9,32.3
"Oriolus bouroensis",109,143.7,22.2
"Oriolus brachyrynchus",49,113.7,24.6
"Oriolus chinensis",82.6,150.9,29.1
"Oriolus chlorocephalus",49,134.6,26
"Oriolus consanguineus",64,122.5,22.1
"Oriolus crassirostris",50,125.3,23.1
"Oriolus cruentus",64,127.9,22.1
"Oriolus decipiens",109,158,20.9
"Oriolus finschi",95.2,139,21.7
"Oriolus flavocinctus",109,143,23
"Oriolus forsteni",109,153.9,20.8
"Oriolus hosii",64,122.8,24.4
"Oriolus isabellae",46.1,112.8,18.3
"Oriolus kundoo",65.6,138.9,33.3
"Oriolus larvatus",66.1,133.9,29.4
"Oriolus melanotis",95.2,139.3,21.9
"Oriolus mellianus",93,144.8,27.5
"Oriolus monacha",68.5,135.3,24.1
"Oriolus nigripennis",56.7,116,25.8
"Oriolus oriolus",79,151.6,38.5
"Oriolus percivali",61,129.6,23.8
"Oriolus phaeochromus",109,133.2,20.7
"Oriolus sagittatus",95.2,145.1,28.6
"Oriolus steerii",46.5,116.4,25
"Oriolus szalayi",95.2,139.2,22.3
"Oriolus tenuirostris",81.4,146.1,34.2
"Oriolus traillii",73.7,142.9,26.6
"Oriolus xanthonotus",45,106.8,25.2
"Oriolus xanthornus",56.3,133.6,27.4
"Pitohui cerviniventris",72,113.9,11
"Pitohui dichrous",92.9,108.2,13.2
"Pitohui kirhocephalus",72,113.9,11
"Pitohui uropygialis",72,122.8,10.9
"Sphecotheres hypoleucus",77.5,126.6,24
"Sphecotheres vieilloti",121.5,146.8,26.6
"Sphecotheres viridis",121,123.7,23.4
"Orthonyx novaeguineae",58.1,83.2,8.5
"Orthonyx spaldingii",149.9,122.3,11.2
"Orthonyx temminckii",58.1,88.1,12
"Colluricincla boweri",43.8,103.1,18.3
"Colluricincla harmonica",65.8,123.2,19.2
"Colluricincla megarhyncha",32.3,93.1,14.9
"Colluricincla tenebrosa",46,95.8,12.7
"Colluricincla woodwardi",54.5,123.2,13.9
"Coracornis raveni",36,80.5,16.5
"Coracornis sanghirensis",32.3,91.8,17
"Melanorectes nigrescens",76.9,122.4,15.5
"Pachycephala albiventris",21.1,78.2,12.9
"Pachycephala arctitorquis",22.4,79.1,18
"Pachycephala aurea",23.8,87.8,15.1
"Pachycephala caledonica",22.7,83,17.9
"Pachycephala cinerea",21,83.4,16.3
"Pachycephala feminina",30.4,89.9,18
"Pachycephala flavifrons",41.5,83.2,20.3
"Pachycephala fulvotincta",30.4,79,14.9
"Pachycephala griseiceps",21.8,77.5,16.5
"Pachycephala griseonota",22.4,78.9,18.5
"Pachycephala homeyeri",25.8,81.7,13.5
"Pachycephala hyperythra",27.7,87.4,19.1
"Pachycephala hypoxantha",22.3,83.6,16.4
"Pachycephala implicata",34.5,89.6,14
"Pachycephala inornata",30.8,99,19.8
"Pachycephala jacquinoti",36,100.3,22.6
"Pachycephala lanioides",38.7,94.6,14.5
"Pachycephala leucogastra",18.5,82.3,20.4
"Pachycephala lorentzi",19.4,87.3,20.5
"Pachycephala melanura",23.8,82.8,17.4
"Pachycephala mentalis",30.4,88.6,18
"Pachycephala meyeri",19,77.9,19
"Pachycephala modesta",18.3,84.3,19.9
"Pachycephala monacha",26,85.1,22.4
"Pachycephala nudigula",34.5,99.6,15.2
"Pachycephala olivacea",41.2,97.3,17.7
"Pachycephala orioloides",42.7,90.9,16.6
"Pachycephala orpheus",15.5,73.2,16
"Pachycephala par",30.4,89.9,18
"Pachycephala pectoralis",30.4,89.9,18
"Pachycephala phaionota",24.8,84.2,19.3
"Pachycephala philippinensis",22.3,81.6,15.3
"Pachycephala richardsi",34.5,89.6,14
"Pachycephala rufiventris",22.5,92.7,24.1
"Pachycephala rufogularis",36.6,109.7,23.5
"Pachycephala schlegelii",22.7,86.8,18.9
"Pachycephala simplex",17.4,70,16.5
"Pachycephala soror",24.8,87.9,17.7
"Pachycephala sulfuriventer",21.4,81.5,15.9
"Pachycephala tenebrosa",46,96.3,17.7
"Pachycephala teysmanni",30.4,89.9,18
"Pachycephala vitiensis",30.4,91.2,20.1
"Pseudorectes ferrugineus",93.9,134.1,15.6
"Pseudorectes incertus",75,111.6,12.2
"Panurus biarmicus",13.8,60,22.1
"Astrapia mayeri",139.3,169.2,9.6
"Astrapia nigra",190,179.2,14
"Astrapia rothschildi",181.4,183.9,16.6
"Astrapia splendidissima",131.3,131.3,10.7
"Astrapia stephaniae",141.8,155.8,11.6
"Cicinnurus magnificus",89.8,113.1,14.9
"Cicinnurus regius",51.6,102.6,7.6
"Cicinnurus respublica",58.4,95.6,15.7
"Drepanornis albertisi",110,147.6,13
"Drepanornis bruijnii",153.3,156.8,18.8
"Epimachus fastosus",232.9,189.2,14.1
"Epimachus meyeri",220.5,175.1,12.3
"Lophorina feminina",76.7,121,15.9
"Lophorina intercedens",158,172.6,10.4
"Lophorina magnifica",149.9,167.3,11.4
"Lophorina minor",76.7,129,18.6
"Lophorina paradisea",119.5,150.7,8.2
"Lophorina superba",76.7,138,13.8
"Lophorina victoriae",95,130,7.5
"Lycocorax obiensis",283.9,191,14.9
"Lycocorax pyrrhopterus",283.9,197.1,14.9
"Manucodia ater",228,179.1,10
"Manucodia chalybatus",215.9,171.5,9.5
"Manucodia comrii",432.7,233.1,9.6
"Manucodia jobiensis",202.6,168,10
"Paradigalla brevicauda",167.9,151.1,7.8
"Paradigalla carunculata",170,169.1,6.3
"Paradisaea apoda",172,212.8,15
"Paradisaea decora",237,167.1,14.6
"Paradisaea guilielmi",256,173,12.1
"Paradisaea minor",207.9,178.4,15.4
"Paradisaea raggiana",212.6,188.5,14.7
"Paradisaea rubra",178.2,171.1,11.9
"Paradisornis rudolphi",164.1,151.7,12.8
"Parotia berlepschi",163.2,151,9.6
"Parotia carolae",163.2,149.1,8.4
"Parotia lawesii",161.4,150.6,7.9
"Parotia sefilata",181.7,156.6,9.1
"Parotia wahnesi",158,161.7,14.6
"Phonygammus keraudrenii",154.7,159.1,11.4
"Pteridophora alberti",81.8,120.9,18.3
"Seleucidis melanoleucus",174.4,170,10
"Semioptera wallacii",148.3,151.4,10.6
"Oreocharis arfaki",19.7,70,19.6
"Paramythia montium",41.8,102.1,21.2
"Paramythia olivacea",41.8,98.5,23.3
"Pardalotus punctatus",8.7,56.5,24.8
"Pardalotus quadragintus",10.7,57.8,25.7
"Pardalotus rubricatus",10.9,63.2,28.6
"Pardalotus striatus",11.4,63.7,28
"Baeolophus atricristatus",17.5,72,14.6
"Baeolophus bicolor",21.6,77.9,16.1
"Baeolophus inornatus",15.9,68,14.4
"Baeolophus ridgwayi",15.9,72.5,10.5
"Baeolophus wollweberi",10.4,64,16.5
"Cephalopyrus flammiceps",7,59.5,29.1
"Cyanistes caeruleus",11.1,65.6,21
"Cyanistes cyanus",14.6,69,19.3
"Cyanistes teneriffae",10,59.7,14.2
"Lophophanes cristatus",11,64,19.8
"Lophophanes dichrous",13.8,68.2,19.2
"Machlolophus holsti",16.7,74.5,17.4
"Machlolophus nuchalis",13.8,65,14
"Machlolophus spilonotus",18.8,76.5,16.4
"Machlolophus xanthogenys",14.8,71,17.3
"Melaniparus afer",20.2,73,17.6
"Melaniparus albiventris",21.2,82,17.7
"Melaniparus carpi",18.6,78,16.8
"Melaniparus cinerascens",20,79.2,18
"Melaniparus fasciiventer",15.2,77.8,17
"Melaniparus fringillinus",13.8,71.8,15.2
"Melaniparus funereus",25.4,85.2,18.5
"Melaniparus griseiventris",15.5,77.2,19.1
"Melaniparus guineensis",16.1,77,15.9
"Melaniparus leucomelas",16.1,86.6,17.7
"Melaniparus leuconotus",16.7,78.5,14.3
"Melaniparus niger",21.5,80.8,17.4
"Melaniparus pallidiventris",18.2,79,17.5
"Melaniparus rufiventris",18.2,80,15.9
"Melaniparus thruppi",12,63.8,14.6
"Melanochlora sultanea",37.6,106.3,20.7
"Pardaliparus amabilis",12.7,65.1,17.7
"Pardaliparus elegans",12.8,61.2,14.2
"Pardaliparus venustulus",10.6,63.2,24.3
"Parus major",16.3,70.9,18.7
"Parus monticolus",14,66.2,15.7
"Periparus ater",9.2,61.1,21.9
"Periparus rubidiventris",11.8,69.6,18.8
"Periparus rufonuchalis",12.6,74.5,17.7
"Poecile atricapillus",10.8,64.4,18.6
"Poecile carolinensis",10,58.8,19.5
"Poecile cinctus",11.4,67.3,19.5
"Poecile davidi",10.3,64.3,16
"Poecile gambeli",11.2,68.8,19.2
"Poecile hudsonicus",9.8,64.8,18.4
"Poecile hypermelaenus",11.1,63.9,15.6
"Poecile hyrcanus",15.8,74.6,15.3
"Poecile lugubris",15.8,74.6,15.3
"Poecile montanus",11.1,65.5,17.7
"Poecile palustris",11.1,64,17.9
"Poecile rufescens",9.4,61.1,17.8
"Poecile sclateri",10.1,67.8,17.4
"Poecile superciliosus",10.7,63.5,13.6
"Poecile weigoldicus",11.1,59.9,17.6
"Pseudopodoces humilis",45.4,88.6,15.2
"Sittiparus castaneoventris",17,73.8,19.7
"Sittiparus olivaceus",17,73.8,19.7
"Sittiparus owstoni",17,73.8,19.7
"Sittiparus semilarvatus",18,74.2,21.2
"Sittiparus varius",17,73.8,19.7
"Sylviparus modestus",7.1,59.4,21.6
"Basileuterus auricapilla",10.5,57.6,14.3
"Basileuterus belli",10.7,59.7,14.9
"Basileuterus cabanisi",10.5,58.5,18.1
"Basileuterus culicivorus",10.5,59.5,18.1
"Basileuterus griseiceps",13,62.1,13.1
"Basileuterus hypoleucus",11.4,58.2,13.4
"Basileuterus ignotus",10.9,55,12.6
"Basileuterus lachrymosus",25.6,74.3,17
"Basileuterus melanogenys",11.8,62.6,13.9
"Basileuterus rufifrons",10.4,54.5,11.8
"Basileuterus trifasciatus",9.7,56.8,13.8
"Basileuterus tristriatus",12,61,13.4
"Cardellina canadensis",10,62.5,25.9
"Cardellina pusilla",7,56.3,20.7
"Cardellina rubra",8.1,61.2,16.7
"Cardellina rubrifrons",8.1,67.5,21.3
"Cardellina versicolor",10,60.7,16.7
"Catharopeza bishopi",15.1,66.6,20.9
"Geothlypis aequinoctialis",13.1,58.1,13.5
"Geothlypis auricularis",13.8,57,15.5
"Geothlypis bairdi",17.2,57.2,15.1
"Geothlypis beldingi",15.7,61.3,16.4
"Geothlypis chiriquensis",13.8,56,12.7
"Geothlypis flavovelata",10.9,54,17.6
"Geothlypis formosa",14,66.9,24.9
"Geothlypis nelsoni",11,52.2,11
"Geothlypis philadelphia",11.7,59,25.3
"Geothlypis poliocephala",14.6,55.3,9
"Geothlypis rostrata",16.1,62.5,14
"Geothlypis semiflava",17.2,59.7,13.5
"Geothlypis speciosa",10.8,56.2,13.2
"Geothlypis tolmiei",10.4,58.1,22.9
"Geothlypis trichas",9.5,54.7,16.1
"Helmitheros vermivorum",14.2,68.3,26.2
"Leiothlypis celata",9.2,59.9,23
"Leiothlypis crissalis",9.3,61.2,19.3
"Leiothlypis luciae",6.6,55.6,23.7
"Leiothlypis peregrina",8.9,62.5,25.9
"Leiothlypis ruficapilla",8.1,56.8,23.6
"Leiothlypis virginiae",8.2,61.1,18.9
"Leucopeza semperi",19.8,67.2,16.9
"Limnothlypis swainsonii",18.9,71.6,25
"Mniotilta varia",10.9,68.8,25.5
"Myioborus albifacies",15,63,16.8
"Myioborus albifrons",11.3,67,14.5
"Myioborus brunniceps",9.2,62.5,14.3
"Myioborus cardonai",10.9,64,16.4
"Myioborus castaneocapilla",10.9,63.3,13.3
"Myioborus chrysops",11.7,68.1,15.3
"Myioborus flavivertex",15,62.2,19.6
"Myioborus melanocephalus",11.3,66,15.5
"Myioborus miniatus",9,63.6,17
"Myioborus ornatus",11.7,70.2,14.7
"Myioborus pariae",10.9,60,17.1
"Myioborus pictus",9.8,73.2,20.2
"Myioborus torquatus",10.5,64.5,13.9
"Myiothlypis basilica",16.2,65,17.4
"Myiothlypis bivittata",14.6,64.1,14.2
"Myiothlypis chlorophrys",16.2,61,18.8
"Myiothlypis chrysogaster",11.2,61.2,16.3
"Myiothlypis cinereicollis",17.2,62.5,18.2
"Myiothlypis conspicillata",13.7,64.6,14.4
"Myiothlypis coronata",16.3,68.3,14.4
"Myiothlypis euophrys",12.9,66.8,12.2
"Myiothlypis flaveola",13.2,66.3,12.5
"Myiothlypis fraseri",11.6,65,13.7
"Myiothlypis fulvicauda",14.9,63.3,15.3
"Myiothlypis leucoblephara",15.1,64.4,15.9
"Myiothlypis leucophrys",18.1,62.6,14.9
"Myiothlypis luteoviridis",12.9,66.6,12.6
"Myiothlypis mesoleuca",13.5,62.5,14.3
"Myiothlypis nigrocristata",13.6,61.5,9.6
"Myiothlypis rivularis",13.5,67.1,15.3
"Myiothlypis roraimae",14.6,68.8,14.6
"Myiothlypis signata",11.3,58.5,13.7
"Myiothlypis striaticeps",12.9,66.4,14.7
"Oporornis agilis",13.3,71.3,30.4
"Oreothlypis gutturalis",9.5,64,22.9
"Oreothlypis superciliosa",9,62.3,24.7
"Parkesia motacilla",19.9,79.8,29.7
"Parkesia noveboracensis",16.3,73.9,28
"Protonotaria citrea",14.3,68.9,30
"Seiurus aurocapilla",18.8,73.2,24.9
"Setophaga adelaidae",6.9,50.1,11.5
"Setophaga americana",7.8,57.6,28.1
"Setophaga angelae",7.7,52.6,19.7
"Setophaga auduboni",11.9,75.4,25.8
"Setophaga caerulescens",10.1,62.2,24.1
"Setophaga castanea",11.8,69.9,30.6
"Setophaga cerulea",9,65.6,33.2
"Setophaga chrysoparia",9.9,61.7,21.4
"Setophaga citrina",10.5,64.7,21.5
"Setophaga coronata",11.9,71.6,24.5
"Setophaga delicata",7.4,54.8,18
"Setophaga discolor",7.6,55.5,20
"Setophaga dominica",9.7,67.7,27.7
"Setophaga flavescens",9,65,24.5
"Setophaga fusca",9.7,65.7,32.4
"Setophaga graciae",8.1,65.1,25.6
"Setophaga graysoni",6.8,52.7,20.1
"Setophaga kirtlandii",13.9,70,20.5
"Setophaga magnolia",8.1,58.4,21.1
"Setophaga nigrescens",8.7,63.2,23.4
"Setophaga occidentalis",10.4,66.9,26.9
"Setophaga palmarum",10.3,63.7,20.1
"Setophaga pensylvanica",9.3,61.6,26.6
"Setophaga petechia",10.2,60.2,23.6
"Setophaga pharetra",9.9,62.2,16.7
"Setophaga pinus",11.8,71.8,28.6
"Setophaga pitiayumi",6.8,52.7,20.1
"Setophaga pityophila",8,58,24.2
"Setophaga plumbea",10.1,61.3,19.5
"Setophaga ruticilla",8.2,62,24.6
"Setophaga striata",11.8,74.3,31.3
"Setophaga subita",7.6,50.6,13.3
"Setophaga tigrina",10,65.7,26.7
"Setophaga townsendi",8.8,63.8,27.8
"Setophaga virens",8.7,62.1,26.5
"Setophaga vitellina",6.7,56.6,15.9
"Vermivora bachmanii",8.6,59.2,21.3
"Vermivora chrysoptera",8.7,60.6,25.9
"Vermivora cyanoptera",8.9,58.3,25.2
"Aimophila notosticta",27.1,67.1,8.3
"Aimophila rufescens",34.3,73.6,9.1
"Aimophila ruficeps",18.7,59.9,12.8
"Ammodramus aurifrons",17.8,58.3,9.7
"Ammodramus humeralis",16,56.4,4.3
"Ammodramus savannarum",17.6,58.2,21.1
"Ammospiza caudacuta",19.2,56.8,18.9
"Ammospiza leconteii",13,53,18.8
"Ammospiza maritima",22.2,60.6,14.8
"Ammospiza nelsoni",15.1,56.4,21.9
"Amphispiza bilineata",13.5,63.5,17.7
"Amphispiza quinquestriata",19.5,68.8,12.1
"Arremon abeillei",25.9,74.2,10.6
"Arremon assimilis",39,83.6,8.8
"Arremon atricapillus",44.6,84.8,9.1
"Arremon aurantiirostris",34.5,72.7,11.3
"Arremon axillaris",24.8,72,10.9
"Arremon basilicus",42,80.5,9.8
"Arremon brunneinucha",44,80.8,9.1
"Arremon castaneiceps",36.9,78.4,9.4
"Arremon costaricensis",42,80.5,9.8
"Arremon crassirostris",38.7,64.6,12
"Arremon dorbignii",26.1,72.2,10.3
"Arremon flavirostris",26.1,70.8,6.9
"Arremon franciscanus",24.9,72.2,10.6
"Arremon nigriceps",25.9,74.2,10.6
"Arremon perijanus",42,80.5,9.8
"Arremon phaeopleurus",42,80.5,9.8
"Arremon phygas",42,80.5,9.8
"Arremon schlegeli",27.7,71.5,9
"Arremon semitorquatus",25,70,6.1
"Arremon taciturnus",24.8,72,10.9
"Arremon torquatus",42,80.5,9.8
"Arremon virenticeps",41,83.3,11
"Arremonops chloronotus",27.4,66,6.8
"Arremonops conirostris",35.9,73.7,8.2
"Arremonops rufivirgatus",22.4,65.3,8.6
"Arremonops tocuyensis",29.4,63.8,6.8
"Artemisiospiza belli",17,65,16.8
"Artemisiospiza nevadensis",18.5,75,19
"Atlapetes albiceps",37,73,10.2
"Atlapetes albinucha",33.8,73.3,9.5
"Atlapetes albofrenatus",30,72,13.1
"Atlapetes blancae",28,72.2,10.9
"Atlapetes canigenis",26.6,73.2,10.3
"Atlapetes citrinellus",28,69,11.5
"Atlapetes crassus",36.5,78.5,12.9
"Atlapetes flaviceps",33.7,71,11.3
"Atlapetes forbesi",32.2,79,10.8
"Atlapetes fulviceps",28.2,75.1,14.7
"Atlapetes fuscoolivaceus",32.5,71.5,13.1
"Atlapetes latinuchus",23.6,74.6,12.7
"Atlapetes leucopis",43,79.8,13.3
"Atlapetes leucopterus",20.8,68.8,14.3
"Atlapetes melanocephalus",25,70.5,14.6
"Atlapetes melanolaemus",28.9,70.4,9.5
"Atlapetes melanopsis",29.6,76,13.7
"Atlapetes meridae",30,72,13.1
"Atlapetes nationi",41.6,81,10.1
"Atlapetes nigrifrons",23.6,74.6,12.7
"Atlapetes pallidiceps",27.5,77.5,11.8
"Atlapetes pallidinucha",34.6,77.6,12
"Atlapetes paynteri",24.9,68.8,14.3
"Atlapetes personatus",32.7,78.4,12.2
"Atlapetes pileatus",24,67.1,10.8
"Atlapetes rufigenis",32.2,85.6,14.2
"Atlapetes rufinucha",21.5,69.7,12.7
"Atlapetes schistaceus",28,75.7,12.5
"Atlapetes seebohmi",29.5,71.8,9.4
"Atlapetes semirufus",30.7,71.8,9.5
"Atlapetes taczanowskii",28,75.7,12.5
"Atlapetes terborghi",27.8,71.9,10
"Atlapetes tricolor",36.5,76.7,11.9
"Calamospiza melanocorys",37.6,86.6,24.3
"Chlorospingus canigularis",18,69.2,19.8
"Chlorospingus flavigularis",25.6,79.3,17.8
"Chlorospingus flavopectus",20,67.3,15.6
"Chlorospingus hypophaeus",25.6,79.3,17.8
"Chlorospingus inornatus",28,76.9,15.2
"Chlorospingus parvirostris",24,71.5,16.6
"Chlorospingus pileatus",21,65,14.5
"Chlorospingus semifuscus",19,69.2,15.3
"Chlorospingus tacarcunae",18.9,63.9,16.2
"Chondestes grammacus",29,85.5,28.8
"Junco bairdi",20.4,77.7,21.2
"Junco hyemalis",19.5,75.2,21.9
"Junco insularis",22,66.8,19.9
"Junco phaeonotus",20.4,77.7,21.2
"Junco vulcani",28,77.9,15.4
"Melospiza georgiana",16.1,62.3,19.1
"Melospiza lincolnii",16.6,64,22.3
"Melospiza melodia",21.9,66.3,20.1
"Melozone aberti",45.9,89.7,12.8
"Melozone albicollis",46.4,81,11.9
"Melozone biarcuata",30.6,71.6,8.6
"Melozone cabanisi",28,66.5,9.7
"Melozone crissalis",52.8,88.8,13.1
"Melozone fusca",44.4,93.4,13.1
"Melozone kieneri",38.7,79.8,9.9
"Melozone leucotis",39.9,81.5,8.4
"Melozone occipitalis",39.9,83,8.4
"Oreothraupis arremonops",48,80,9.1
"Oriturus superciliosus",41.4,79,15.7
"Passerculus bairdii",18.1,65.6,19
"Passerculus guttatus",20,72.8,24.1
"Passerculus henslowii",12.8,54.7,15.6
"Passerculus rostratus",20,72.8,24.1
"Passerculus sanctorum",20,72.8,24.1
"Passerculus sandwichensis",20,72.8,24.1
"Passerella arborea",17.8,72.2,19.9
