"Species1","Mass","Wing.Length","Hand-Wing.Index"
"Nettapus coromandelianus",391.3,158.5,43.9
"Nettapus pulchellus",307,168.8,44.5
"Nomonyx dominicus",365,138.1,41
"Oxyura australis",798,154,42.9
"Oxyura ferruginea",608.2,157.2,37.7
"Oxyura jamaicensis",608.2,139.6,41.9
"Oxyura leucocephala",661.1,148.4,47
"Oxyura maccoa",674,156.4,42.5
"Oxyura vittata",642.7,137.9,38.3
"Plectropterus gambensis",3869,522.6,33.5
"Polysticta stelleri",806.8,203.6,49.1
"Pteronetta hartlaubii",790,267,33
"Radjah radjah",885.2,270,38.5
"Rhodonessa caryophyllacea",886.3,251.2,47.6
"Salvadorina waigiuensis",324,186,43.6
"Sarkidiornis melanotos",2610,321,42.7
"Sarkidiornis sylvicola",2610,304.5,42.8
"Sibirionetta formosa",434,206,57
"Somateria fischeri",1557.2,246,45
"Somateria mollissima",2060.9,280.2,44.9
"Somateria spectabilis",1616.7,266.3,48.9
"Spatula clypeata",612.6,226.4,58
"Spatula cyanoptera",377.5,187.5,51
"Spatula discors",359.4,178.3,53.8
"Spatula hottentota",276.4,147,42.4
"Spatula platalea",465.4,209.8,53.3
"Spatula puna",595.2,214,44.1
"Spatula querquedula",325.6,188.2,56.1
"Spatula rhynchotis",639,224.2,54.8
"Spatula smithii",591.5,229.2,50.5
"Spatula versicolor",595.2,185,49.9
"Speculanas specularis",1496.1,261.8,42.6
"Stictonetta naevosa",903.3,232.5,47.3
"Tachyeres brachypterus",3450,244.8,43.9
"Tachyeres leucocephalus",3013,275,39.3
"Tachyeres patachonicus",2821.6,287,44.4
"Tachyeres pteneres",4737.6,260.8,43
"Tadorna cana",1182,345.2,47.4
"Tadorna cristata",1235,299,43.5
"Tadorna ferruginea",1235,355.5,48.5
"Tadorna tadorna",1146.8,313.9,51.8
"Tadorna tadornoides",1418.7,353.5,50.1
"Tadorna variegata",1541,351.2,44.1
"Thalassornis leuconotus",707.5,166.5,35.1
"Anhima cornuta",3150,553.1,32.9
"Chauna chavaria",2557.6,492.8,34.8
"Chauna torquata",4400,517,35.3
"Anseranas semipalmata",2393.4,405.6,34.9
"Aceros nipalensis",2385,431.7,21.6
"Anorrhinus austeni",933,327,19.6
"Anorrhinus galeritus",1172,341,9.8
"Anorrhinus tickelli",792.6,305.4,21.1
"Anthracoceros albirostris",892.9,284.9,15.9
"Anthracoceros coronatus",806.7,306.2,17
"Anthracoceros malayanus",1050,289.4,5.3
"Anthracoceros marchei",750,274.6,17.1
"Anthracoceros montani",741,283.5,18
"Berenicornis comatus",1470,360.2,4
"Buceros bicornis",2790.8,509.4,25.7
"Buceros hydrocorax",1409.6,392.5,18.1
"Buceros mindanensis",1409.6,368.1,17.2
"Buceros rhinoceros",2371.6,458.5,21.7
"Bucorvus abyssinicus",4000,556,20.6
"Bucorvus leadbeateri",3743.6,534.5,20.8
"Bycanistes albotibialis",921,315,18.5
"Bycanistes brevis",1232.8,355,24.7
"Bycanistes bucinator",639.4,277.5,23.6
"Bycanistes cylindricus",921,319.8,17.4
"Bycanistes fistulator",508.1,236.8,22.2
"Bycanistes sharpii",508.1,251.2,24.5
"Bycanistes subcylindricus",1195.4,327.8,21.9
"Ceratogymna atrata",1194.8,373.3,17.5
"Ceratogymna elata",1917,381.9,19.5
"Horizocerus albocristatus",289.4,233.1,15.7
"Horizocerus cassini",289.4,224.7,13.9
"Horizocerus granti",98.5,143.9,14.8
"Horizocerus hartlaubi",98.5,147.2,16.9
"Lophoceros alboterminatus",223.7,235.7,19.2
"Lophoceros bradfieldi",196.5,242.2,25
"Lophoceros camurus",103.8,153.5,11.4
"Lophoceros fasciatus",258.8,261.8,21.3
"Lophoceros hemprichii",297,279.1,20.9
"Lophoceros nasutus",179.6,220.7,21.2
"Lophoceros pallidirostris",233,231,20.5
"Lophoceros semifasciatus",258.8,250.1,17.7
"Ocyceros birostris",375,212.3,21.4
"Ocyceros gingalensis",238,197.7,16.2
"Ocyceros griseus",292,206,16.6
"Penelopides affinis",485.1,226,14.7
"Penelopides manillae",460.9,224.8,15.9
"Penelopides mindorensis",462,226.2,16.9
"Penelopides panini",470.5,257.3,15.9
"Rhabdotorrhinus corrugatus",1590,343.2,13.3
"Rhabdotorrhinus exarhatus",370,226.8,15.8
"Rhabdotorrhinus leucocephalus",1086,316,22.5
"Rhabdotorrhinus waldeni",1086,331,20.2
"Rhinoplax vigil",2887.6,468,5.7
"Rhyticeros cassidix",2360,427.8,18.9
"Rhyticeros everetti",697.2,338,22.2
"Rhyticeros narcondami",697.2,286.6,28.7
"Rhyticeros plicatus",1703.8,382.7,23.9
"Rhyticeros subruficollis",2042,396.2,29.6
"Rhyticeros undulatus",2214.6,438.8,14.8
"Tockus damarensis",210,182.5,17.4
"Tockus deckeni",167.7,177.6,17.5
"Tockus erythrorhynchus",138.6,172.4,18.7
"Tockus flavirostris",216.7,192,20.1
"Tockus jacksoni",167.7,170.2,17.6
"Tockus leucomelas",188.3,188.7,19.6
"Tockus monteiri",289.8,196.5,14.9
"Phoeniculus bollei",54.6,129.2,21.5
"Phoeniculus damarensis",81.8,148.1,23.8
"Phoeniculus purpureus",73.2,139.4,21.3
"Phoeniculus somaliensis",26.5,145,24.5
"Rhinopomastus aterrimus",27.1,97.6,18.5
"Rhinopomastus castaneiceps",24.4,101.8,19.4
"Rhinopomastus cyanomelas",27.1,108.4,20.1
"Rhinopomastus minor",21.7,89.6,14.7
"Upupa epops",66.9,142.3,21.4
"Upupa marginata",66.9,149.2,18.8
"Aegotheles affinis",60,133.7,29.5
"Aegotheles albertisi",35.2,114,29.8
"Aegotheles archboldi",30.6,116.5,31.8
"Aegotheles bennettii",60,122.8,32.4
"Aegotheles crinifrons",136,164.6,27.4
"Aegotheles cristatus",42.8,135.8,34.6
"Aegotheles insignis",78.5,165.2,30.4
"Aegotheles savesi",52,163,20.9
"Aegotheles tatei",52,145.8,27.6
"Aegotheles wallacii",50.7,119,30
"Aerodramus bartschi",7.4,88.7,60.5
"Aerodramus brevirostris",13.4,122.9,65.2
"Aerodramus elaphrus",10.7,113,69.7
"Aerodramus francicus",8.9,109,67.6
"Aerodramus fuciphagus",10.7,113,68.1
"Aerodramus hirundinaceus",10.1,115,69.1
"Aerodramus infuscatus",13.4,106.2,70.8
"Aerodramus inquietus",11,114.1,68.6
"Aerodramus leucophaeus",13.4,118.6,63.5
"Aerodramus maximus",17,129.2,67.8
"Aerodramus mearnsi",11.3,109,67.9
"Aerodramus nuditarsus",13.4,125.2,67.7
"Aerodramus orientalis",13.4,125.2,67.7
"Aerodramus papuensis",19.9,132.5,70.4
"Aerodramus pelewensis",13.4,107.7,68.5
"Aerodramus salangana",11.3,113.5,66.7
"Aerodramus sawtelli",8.6,116,67.3
"Aerodramus spodiopygius",8,117,67.3
"Aerodramus terraereginae",12,111.2,67.1
"Aerodramus unicolor",11,113.4,68
"Aerodramus vanikorensis",10.7,116,67.4
"Aerodramus vulcanorum",13.4,120,66.6
"Aerodramus whiteheadi",14,136,69.2
"Aeronautes andecolus",17.6,140,70.3
"Aeronautes montivagus",20.1,115.2,68.6
"Aeronautes saxatalis",32.1,140.3,69.8
"Apus acuticauda",39.4,174,69
"Apus affinis",22.6,126.5,66
"Apus alexandri",39.4,137.5,70.3
"Apus apus",37.6,161.3,71.6
"Apus balstoni",42.8,161.2,70.7
"Apus barbatus",42.8,171,71.9
"Apus batesi",22.1,123,65
"Apus berliozi",38.2,170.2,70
"Apus bradfieldi",42.4,176,70.7
"Apus caffer",22.1,144.8,69.1
"Apus horus",27.5,149.9,69.8
"Apus niansae",32.5,154.8,70.5
"Apus nipalensis",29.8,130,67.6
"Apus pacificus",39.4,173,69.4
"Apus pallidus",41.9,166.8,72.3
"Apus sladeniae",42.8,177,71.8
"Apus unicolor",22.5,149.5,71.7
"Chaetura andrei",17.1,111.3,69.2
"Chaetura brachyura",18.3,118.5,67.5
"Chaetura chapmani",23.8,122.9,65.1
"Chaetura cinereiventris",13.9,104.4,67
"Chaetura egregia",23.4,116.8,63.2
"Chaetura fumosa",15.7,106.2,67.8
"Chaetura martinica",12.5,108.2,69.3
"Chaetura meridionalis",22.2,131.7,63.8
"Chaetura pelagica",23.6,124.4,70.3
"Chaetura spinicaudus",15.7,103.7,64.9
"Chaetura vauxi",17.1,111.3,69.2
"Collocalia esculenta",6.3,99.5,68.3
"Collocalia linchi",5.9,93.7,67.2
"Collocalia troglodytes",5.4,92.8,68.6
"Cypseloides cherriei",22.1,124.8,67.4
"Cypseloides cryptus",34.5,137.2,67.8
"Cypseloides fumigatus",42,145.2,69.7
"Cypseloides lemosi",28.1,150.2,72.4
"Cypseloides niger",39.7,149.4,73
"Cypseloides rothschildi",42,153.2,59.1
"Cypseloides senex",82.3,168.8,61.5
"Cypseloides storeri",39.5,137.2,67.8
"Cypsiurus balasiensis",9.1,114.7,68.3
"Cypsiurus gracilis",13.6,124,69.4
"Cypsiurus parvus",13.6,136,74.3
"Hirundapus caudacutus",95.5,206,72.2
"Hirundapus celebensis",180,213.7,70.9
"Hirundapus cochinchinensis",83.8,183.2,68.1
"Hirundapus giganteus",127,203.1,64.1
"Hydrochous gigas",35.8,146,69.4
"Mearnsia novaeguineae",32.6,130,69.2
"Mearnsia picina",42.5,161.5,71.4
"Neafrapus boehmi",14.4,119.8,64.5
"Neafrapus cassini",40,156,70.5
"Panyptila cayennensis",21.1,118.8,68.5
"Panyptila sanctihieronymi",48.1,184.2,72.6
"Rhaphidura leucopygialis",13.6,116.2,66.8
"Rhaphidura sabini",16,123.4,66.8
"Schoutedenapus myoptilus",23.5,129.7,69.6
"Streptoprocne biscutata",95.8,192.2,64.8
"Streptoprocne phelpsi",21.8,125,73.8
"Streptoprocne rutila",20.2,130,71
"Streptoprocne semicollaris",175,222,69.5
"Streptoprocne zonaris",86.8,212.5,65.7
"Tachornis furcata",6.5,89,36.1
"Tachornis phoenicobia",10.2,101.8,72
"Tachornis squamata",11,103.7,66.5
"Tachymarptis aequatorialis",92.8,207.4,71.9
"Tachymarptis melba",100.4,219.3,72.5
"Telacanthura melanopygia",52,162,68.8
"Telacanthura ussheri",32.6,145.6,71.1
"Zoonavena grandidieri",8,124.5,68.7
"Zoonavena sylvatica",16,110.6,69.2
"Zoonavena thomensis",8,109.5,67.8
"Antrostomus arizonae",53.3,159.3,48.3
"Antrostomus badius",59.8,163,45.4
"Antrostomus carolinensis",109,207.7,51.5
"Antrostomus cubanensis",63.5,175,47
"Antrostomus ekmani",64,172.3,45.6
"Antrostomus noctitherus",36.1,132.5,43.2
"Antrostomus ridgwayi",48,150.2,46.9
"Antrostomus rufus",94.2,169,46.1
"Antrostomus salvini",56,169,44.6
"Antrostomus saturatus",52,144.5,47.8
"Antrostomus sericocaudatus",83,160.7,49.6
"Antrostomus vociferus",53.3,154.4,46.1
"Caprimulgus aegyptius",77.3,200.8,50.6
"Caprimulgus affinis",58.7,159.6,45.3
"Caprimulgus andamanicus",66.2,182.2,46
"Caprimulgus asiaticus",42,147.4,45.8
"Caprimulgus atripennis",61,184.2,46.7
"Caprimulgus batesi",100,185.5,45.1
"Caprimulgus celebensis",57.5,187,45.8
"Caprimulgus centralasicus",57.5,156,39.1
"Caprimulgus clarus",42.5,147.8,46.8
